article_topic,sentence,label
"Klopp speaks as he lines up return to football... but not as a coach!","After leaving, the 57-year-old had said he did not want to take a coaching role for the foreseeable future, though he was thought to be one of the FA's frontrunners for the vacant England manager's position.","1"
"Klopp speaks as he lines up return to football... but not as a coach!","He is understood to have secured an exit clause that especially applies to the Germany national team.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","Klopp is touted as a potential successor to Julian Nagelsmann if he does not continue beyond his contract, which currently finishes after the 2026 World Cup.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","I'm really looking forward to it.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","A few months ago I said I don't see myself on the sidelines any more, and that's still the case.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","But I still love football and love working, and Red Bull give me the perfect platform for that.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","I want to share my experience which I have collected over the years, we all know there are much more successful managers out there but in my career I've fought for promotion, I've fought against relegation and I've fought for titles and for trophies.","1"
"Klopp speaks as he lines up return to football... but not as a coach!","Sometimes we failed, sometimes we succeeded and dealing with that is not easy - but it's possible.","1"
"Klopp speaks as he lines up return to football... but not as a coach!","I also want to learn again.","1"
"Klopp speaks as he lines up return to football... but not as a coach!","When you're in the job and you have to play every three days, you barely have time for that.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","Now I have the time and opportunity.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","I want to see and figure out what is useful for football, so developing that a little bit as well.","1"
"Klopp speaks as he lines up return to football... but not as a coach!","I'm really looking forward to it, but now I'm going back on holiday.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","See you in January.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","We are a bit surprised.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","Klopp worked in Germany for Mainz 05 and Borussia Dortmund, two traditional clubs.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","Now he will work for the Red Bull organisation, who don't have the best image in Germany.","1"
"Klopp speaks as he lines up return to football... but not as a coach!","Many football fans are surprised, but you have to respect the decision and he will be a mentor for Red Bull's coaches, there are so many clubs of theirs - all over the world, in fact.","1"
"Klopp speaks as he lines up return to football... but not as a coach!","In Japan, in Brazil.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","He'll travel a lot, that's for sure, and help to develop football overall, not just at Red Bull.","1"
"Klopp speaks as he lines up return to football... but not as a coach!","I'm pretty sure Klopp will be the coach of the German national team in the future, maybe after the World Cup in North America.","1"
"Klopp speaks as he lines up return to football... but not as a coach!","Everyone at the German federation loves Jurgen Klopp, but they also love Julian Nagelsmann right now.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","It all depends on Nagelsmann, and we have heard he would like to return to club football after the World Cup.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","Let's see - it will take a lot of time, and right now they are very happy with Nagelsmann.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","People are very happy with the spirit in the German national team right now, and Klopp has this exit clause but I am fairly sure he will not leave Red Bull after one and a half years.","1"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","This summary was emailed around to clubs on Monday following the verdict and Cliff responded by attempting to clarify several points.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","Of even greater concern, however, is the Premier League's suggestion that new APT rules should be passed within the next 10 days.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","When the Premier League consulted on and proposed the original APT Rules in late 2021, we pointed out that the process (which took several weeks) was rushed, ill-thought-out and would result in rules that were anti-competitive.","1"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","The recent award has validated those concerns entirely.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","The tribunal has declared the APT rules to be unlawful.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","MCFC's position is that this means that all of the APT rules are void, and have been since 2021.","1"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","Both City and the Premier League claimed partial victories following the tribunal's findings on Monday, with the league believing the three judges to have endorsed the overall objectives, framework and decision-making of the APT system.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","The arbitration panel found the 2021 rules and their 2023 updates to be unlawful because they excluded shareholder loans - but the Premier League believed City had been unsuccessful in the majority of their challenge.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","Cliff told clubs in his letter that it was peculiar that the league had said this in its summary.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","While it is true that MCFC did not succeed with every point that it ran in its legal challenge, the club did not need to prove that the APT rules are unlawful for lots of different reasons, Cliff said.","1"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","It is enough that they are unlawful for one reason.","1"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","In the event, the tribunal found the APT rules are unlawful for three different sets of reasons.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","The league said changes to the rules arising from the tribunal judgement could be made quickly and effectively and is understood to have called a clubs meeting to discuss making those changes.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","However, Cliff said this was not the time for a kneejerk reaction in revising the rules, which he warned could lead to further legal proceedings.","1"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","He said there needed to be careful reflection on how to proceed.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","The Premier League declined to comment but stands by its summary, and rejects any assertion that it was either inaccurate or misleading.","1"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","Sources close to the league also stressed that the clubs meeting called for next Thursday will simply be an opportunity to discuss the rules, and that no votes on amendments to the rules will be taken.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","You could say this is a very significant victory for Man City because in central London right now the hearing is going on into the alleged breach of 115 of the Premier League's financial rules by Man City.","1"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","City have, by securing this victory, undermined the Premier League's financial rules.","1"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","They have got people thinking, 'These financial rules aren't worth the paper they're written on, they've been written up too quickly'.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","They've challenged them and won, just like Leicester City, who won a legal challenge against the Premier League's financial rules a couple of weeks ago.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","I wouldn't downplay how significant the decision is.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","I think this will have big, big implications for the Premier League and their financial rules.","1"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","Man City are saying they've won and this is a significant victory for them.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","They are saying they've succeeded in proving the rules are unlawful, violated UK competition law and procedural fairness and the Premier League abused its dominant position and the rules were discriminatory in how they operate.","1"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","Overall the tribunal has endorsed the objectives of the ATP rules; the framework and decision-making process behind them.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","The Premier League would say, 'The tribunal have found a few small changes we need to make - we'll very quickly make those changes'.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","They would say the focus should be on the fact the rules are staying.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","It will be very intriguing to see what the atmosphere is like at the next Premier League shareholders' meeting because we found out some clubs supported Man City and some supported the Premier League.","1"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","This is a divisive issue.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","There were two deals Man City wanted to do with Etihad Aviation Group and First Abu Dhabi Bank which were blocked.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","The tribunal has said the Premier League needs to look at those deals again.","1"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","Looking ahead.","0"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","City could sue the Premier League and try to get compensation and say the past deals they've blocked have prevented City from bringing more money into the club.","1"
"Premier League rejects Man City's accusation it 'misled' clubs over APT case","It will then be intriguing to see the implications for the case of the 115 alleged charges…","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Manchester City are eyeing a move for ex-Liverpool target Martin Zubimendi as they scramble around for a Rodri replacement.","1"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Martin Odegaard has stepped up his recovery from an ankle injury, with the Arsenal captain hoping to be back in action soon.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Dominik Szoboszlai claims Arne Slot is calmer than Jurgen Klopp - with the German known for wanting to get involved on the pitch.","1"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Football agent Kia Joorabchian splashed more than £8m on three new signings at the yearling sales on Monday.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Thomas Partey has been forced to withdraw from Ghana's squad for the upcoming international break, with Arsenal sending the midfielder for tests.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Former Gillingham chairman Paul Scally has revealed his hurt after being frozen out of the club after 29 years.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Manchester City have been accused by rivals of trying to run the Premier League themselves after they dismissed the league's view on the verdict from the major tribunal between the two - and advised clubs to contact them rather than the league executive.","1"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Jack Grealish remains adamant Gareth Southgate made a mistake with the devastating decision to leave him out of England's squad for the European Championships.","1"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Belinda Moore has resigned from her role as chief executive officer of Premiership Women's Rugby in a shock development less than a week into the new season.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","A leading United Nations adviser will on Tuesday call for the return of mandatory sex testing to ensure that the female category in sport is accessible exclusively to those born female.","1"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","The former world No 2 tennis player Paula Badosa has apologised after a photo emerged of her appearing to imitate a Chinese face in Beijing last week.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Christian Wade's bid to break the Gallagher Premiership try-scoring record has been paused temporarily, with the wing set to miss two games because of a rib injury, Telegraph Sport can reveal.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Manchester United manager Erik ten Hag has had a giant £200,000 wall built at Carrington to keep his team's training sessions a secret.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Erling Haaland appears to be putting down roots in the UK to the delight of Manchester City fans after he was seen viewing a £3.5m house for sale.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Liverpool legend Dirk Kuyt is facing the sack as Beerschot manager ahead of a crucial board meeting.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Como have offered a free beer to every Napoli fan who visits their match in February after their beautiful sportsmanship.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Memphis Depay is at risk of having his Corinthians contract ripped up just one month after joining the club.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Chris Eubank Jr wants to hit the boxing jackpot to give his nephew the life he deserves.","1"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Levi Colwill turned his back on one of England's most exclusive neighbourhoods to move back with his family.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Ipswich defender Axel Tuanzebe came close to losing his thumb in a freak kitchen accident that required surgery.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","AC Milan stars Fikayo Tomori and Tammy Abraham are reportedly at risk of being dropped after ignoring manager Paulo Fonseca's penalty orders against Fiorentina.","1"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Lucas Paqueta is reportedly being hit with two more charges by the FA in his betting case which could see him thrown out of the sport for life.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","A model accused of making a false rape claim against AC Milan defender Theo Hernandez will go on trial later this month at a Costa del Sol court, it was confirmed on Tuesday.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Nottingham Forest are hopeful that Morgan Gibbs-White could be fit to face Crystal Palace after the international break.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Nico Williams has been forced to withdraw from the Spain squad for their upcoming Nations League games.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Real Madrid defender Eder Militao is expected to be fit for El Clasico later this month, despite being forced to withdraw from Brazil duty with a thigh injury.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Manchester City reportedly already know who they want to replace the departing Txiki Begiristain as the club's new director of football - current Sporting director of football Hugo Viana.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","The civil war in the Premier League has escalated with Manchester City warning of further legal action over the rules governing commercial deals between clubs and related companies.","1"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Two Valencia fans have been detained in Singapore after they criticised the club's owner, Peter Lim, while on their honeymoon.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Sergio Garcia could be in line for a surprise Ryder Cup return after Luke Donald confirmed the Spaniard is considering paying millions of dollars to become eligible for next year's tournament in New York.","1"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Kevin Nisbet is set to make it an Aberdeen hat-trick in Steve Clarke's Scotland squad.","0"
"Papers: Man City eye move for ex-Liverpool target Zubimendi","Out-of-favour Kieran Tierney has reportedly accepted he will need to leave Arsenal in January.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Arsenal are the latest club who are said to be weighing up an approach for Bayer Leverkusen star Florian Wirtz.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Chelsea's majority shareholder Clearlake Capital have poached a key executive from Fenway Sports Group (FSG), who own Premier League rivals Liverpool.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Barcelona are reportedly eyeing up Aston Villa hotshot Jhon Duran following the striker's blistering start to the season.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Michael Oliver was spot on with his decision to send Leandro Trossard off at Manchester City, a Premier League panel have revealed.","1"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Christian Eriksen slammed his Manchester United team-mates for not wanting victory as much as FC Twente.","1"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Matheus Nunes has insisted he can fill the void left in Manchester City's midfield following Rodri's long-term injury.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Manchester United reportedly made a €100m (£83.5m) offer for Barcelona starlet Ansu Fati back in the summer of 2020.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","The EFL has issued an alert to clubs following a series of cyber attacks which have seen breaches at both Bristol City and Sheffield Wednesday in recent weeks.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Toni Kroos has revealed he gave David Moyes his word he would join Manchester United while sitting on his couch in 2014 - only for the move to collapse.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Jose Mourinho revealed he didn't attend his post-match press conference after Fenerbahce's defeat by arch-rivals Galatasaray because he was 'disrespected'.","1"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Former Manchester United assistant manager Steve McClaren believes Erik ten Hag was right to stand up to Cristiano Ronaldo during their infamous public feud that led to the Portuguese superstar leaving the club.","1"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Premier League clubs are concerned that the legal bill for all the league's high-profile cases, including that against Manchester City, will run into multiple millions of pounds and will reduce the clubs' share of the central funds from the broadcast and commercial deals.","1"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Eddie Hearn has said he would play Saudi Arabia's national anthem at every boxing event he promotes if the country bankrolling it asked him to.","1"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Former Arsenal star Wojciech Szczesny is set to come out of retirement to make a shock move to Barcelona.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Newcastle are set to swoop for Georgian wonderkid Vakhtang Salia - a teen dubbed the best in his generation.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Former Manchester United goalkeeper Sergio Romero was slapped with a two-game suspension by current club Boca Juniors and issued a grovelling apology after losing his mind with a fan.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Neymar has earned a fortune for each game he has played at Al Hilal, which has left club chiefs fed up, according to reports.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Sao Paulo saw a PR stunt go terribly wrong when their blimp crashed into a row of houses in Brazil on Wednesday.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","The Premier League spent nearly £50m on legal costs last season - six times the amount it had budgeted for.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Tom Curry, the England flanker whose career was threatened by a serious hip injury, will scale back his training with Sale Sharks - something his club coach admits should have happened three years ago.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Eddie Howe and Paul Mitchell have held talks in a fresh sign of their willingness to work together and move on from a summer of frustration at Newcastle.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Southampton recruitment analyst Jonathan Kaye is set to join Arsenal and work in the club's first team.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","A group of around 60 Lazio fans were banned from attending Thursday's Europa League fixture against Dynamo Kyiv after having weapons confiscated by German police.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Half of Premier League clubs have advertised gambling on webpages aimed at, or featuring, U18s, prompting concern about a voluntary code of conduct drawn up with the help of the betting industry.","1"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Seven of the 10 Premiership clubs are balance-sheet insolvent, according to an independent financial industry report which has prompted a stark warning that unless the sport embraces change it is heading for a precipice.","1"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","The London Marathon raised a record £73.5m for charity, race organisers said, in what they described as the world's largest annual one-day fundraising event.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Pedro Neto says Chelsea's thriving competition for places means no one can sleep, and admitted he still has work to do to reach the level that made him one of the Premier League's most exciting wingers at Wolves.","1"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Former QPR and Wycombe boss Gareth Ainsworth is keen to become the next Hearts manager.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Winger Oscar Cortes faces several weeks on the sidelines after a fresh injury blow.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Hibernian are confident of landing a full away allocation for Sunday's trip to face Rangers at Ibrox after making contact with the SPFL.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Scott Brown has pulled out of the race to become St Johnstone's next manager.","0"
"Papers: Arsenal weigh up move for Leverkusen star Wirtz","Philippe Clement insists he is at Rangers to stay.","0"
"Premier League making changes to financial rules after Man City case","An emergency shareholders' meeting has been called for next Thursday after an arbitration tribunal declared that some of the Premier League's Associated Party Transaction (APT) rules were unlawful and procedurally unfair.","0"
"Premier League making changes to financial rules after Man City case","Manchester City had challenged the legality of the APT rules after they were tightened following a vote of the 20 member clubs in February.","0"
"Premier League making changes to financial rules after Man City case","The Premier League has written to its 20 member clubs to tell them they will be updated on Monday about next week's plans.","0"
"Premier League making changes to financial rules after Man City case","In a 175-page report published this week, the tribunal of three retired judges determined the APT rules were unlawful because they did not cover loans made to clubs by shareholders.","1"
"Premier League making changes to financial rules after Man City case","Clubs have provided the league with details of their shareholder loans over the past few days as proposals are drawn up to amend the APT rules.","0"
"Premier League making changes to financial rules after Man City case","The rules were introduced in 2021 to stop clubs boosting their revenue by signing inflated commercial and sponsorship deals with companies connected to their owners and shareholders.","0"
"Premier League making changes to financial rules after Man City case","Clubs, including City, voted against incorporating shareholder loans in the rules.","0"
"Premier League making changes to financial rules after Man City case","City believe all the APT rules are now void following the tribunal's findings, while the Premier League says the panel of three retired judges endorsed the overall objectives, framework and decision-making of the APT system.","1"
"Premier League making changes to financial rules after Man City case","The league thinks it can comply with competition and public law by changing the existing rules but City have warned against such a course of action.","1"
"Premier League making changes to financial rules after Man City case","Next week's meeting is likely to see the 20 clubs divide into the same groupings which lined up behind City or the Premier League at the two-week arbitration hearing in June.","0"
"Premier League making changes to financial rules after Man City case","Chelsea, Newcastle and Everton acted as witnesses for City in the hearing, while the Premier League was supported by Arsenal, Manchester United, Liverpool, Tottenham, Brighton, West Ham, Brentford, Bournemouth, Wolves and Fulham.","0"
"Premier League making changes to financial rules after Man City case","The hearing into City's alleged 115 breaches of the Premier League's financial rules is continuing at the International Dispute Resolution Centre in St Paul's.","0"
"Nottingham Forest fined over social media comments about VAR Attwell","The Premier League club had denied that the comments brought the game into disrepute by implying bias and/or questioning the integrity of match officials.","0"
"Nottingham Forest fined over social media comments about VAR Attwell","An independent regulatory commission found the Football Association charge proven, but Forest intend to appeal against the sanction.","0"
"Nottingham Forest fined over social media comments about VAR Attwell","A club statement read: Nottingham Forest Football Club is extremely disappointed with the decision of the regulatory commission to impose a £750,000 fine in relation to comments posted on social media following our Premier League fixture against Everton on Sunday 21 April.","1"
"Nottingham Forest fined over social media comments about VAR Attwell","We are particularly concerned that the FA, in its submissions, sought a sanction 'in excess of £1m'.","1"
"Nottingham Forest fined over social media comments about VAR Attwell","We believe that this request, along with the subsequent fine, is wholly disproportionate and the club will be appealing the decision.","1"
"Nottingham Forest fined over social media comments about VAR Attwell","Forest felt they should have been awarded three penalties during a defeat at Everton last season and after the game, they posted on their official X account: Three extremely poor decisions - three penalties not given - which we simply cannot accept.","1"
"Nottingham Forest fined over social media comments about VAR Attwell","We warned the PGMOL that the VAR [Attwell] is a Luton fan before the game but they didn't change him.","1"
"Nottingham Forest fined over social media comments about VAR Attwell","Our patience has been tested multiple times.","0"
"Nottingham Forest fined over social media comments about VAR Attwell","NFFC will now consider its options.","0"
"Nottingham Forest fined over social media comments about VAR Attwell","Forest were in a relegation battle with Luton last season, but ultimately stayed up, while the Hatters were relegated.","0"
"Nottingham Forest fined over social media comments about VAR Attwell","Forest declined to comment on the sanction.","0"
"Nottingham Forest fined over social media comments about VAR Attwell","Forest also asked to listen to the VAR audio from the game, a request which Professional Game Match Officials Limited (PGMOL) granted.","0"
"Nottingham Forest fined over social media comments about VAR Attwell","The club also called for PGMOL to take into account contextual rivalries when making referee and VAR appointments, but when the allegiances criteria were published at the start of this season this was not included.","1"
